Date,Price,Open,High,Low,Vol.,Change %
6/1/2017,103.3,103.6,103.935,102.665,,-0.19%
5/1/2017,103.5,103.5,104.17,102.375,,0.39%
4/1/2017,103.1,103.69,104.275,102.28,,-0.67%
3/1/2017,103.8,107.23,107.77,103.67,,-3.08%
2/1/2017,107.1,108.85,109.08,106.6,,-1.11%
1/1/2017,108.3,108.73,109.815,107.54,,-0.40%
12/1/2016,108.73,109.58,110.155,107.375,,-0.93%
11/1/2016,109.75,106.65,110.9,105.89,,3.05%
10/1/2016,106.5,106.97,107.51,105.99,,0.03%
9/1/2016,106.47,107.49,107.775,105.88,,-0.83%
8/1/2016,107.36,107.2,108.475,106.385,,-0.13%
7/1/2016,107.5,108.65,108.97,106.665,,-0.56%
6/1/2016,108.1,107.58,109.39,106.235,,0.65%
5/1/2016,107.4,106.265,108.805,105.725,,1.13%
4/1/2016,106.2,106.15,107.25,105.475,,0.38%
3/1/2016,105.8,109.225,109.615,105.635,,-3.38%
2/1/2016,109.5,108.44,110.35,107.825,,1.11%
1/1/2016,108.3,105.895,109.58,105.555,,2.32%
12/1/2015,105.84,106.44,107.65,105.49,,-0.78%
11/1/2015,106.67,104.625,107.26,104.33,,2.17%
10/1/2015,104.4,104.935,105.315,103.265,,-0.51%
9/1/2015,104.93,106.33,107.235,104.64,,-0.89%
8/1/2015,105.87,102.425,107.075,101.715,,3.67%
7/1/2015,102.12,102.04,103.08,101.045,,0.31%
6/1/2015,101.8,102.09,103.195,101.23,,0.19%
5/1/2015,101.61,101.48,103.09,101.045,,0.62%
4/1/2015,100.98,100,102.28,99.1,,0.99%
3/1/2015,99.99,98.94,101.045,98.415,,1.07%
2/1/2015,98.93,98.99,100.19,98.25,,-0.05%
1/1/2015,98.98,101.08,102.045,97.835,,-1.38%
12/1/2014,100.36,99.575,102.465,98.59,,1.13%
11/1/2014,99.24,98.41,99.8,97.89,,1.59%
10/1/2014,97.69,99.095,99.365,97.205,,-1.11%
9/1/2014,98.79,96.81,99.165,96.08,,2.59%
8/1/2014,96.3,97.19,99.03,96.335,,-0.09%
7/1/2014,96.39,96.175,97.15,95.005,,0.64%
6/1/2014,95.78,94.84,97.105,94.115,,1.82%
5/1/2014,94.07,96.51,96.755,93.09,,-2.02%
4/1/2014,96.01,95.86,98.15,95.115,,0.68%
3/1/2014,95.36,99.13,99.675,95.25,,-3.48%
2/1/2014,98.8,100.33,100.755,98.565,,-1.00%
1/1/2014,99.8,98.89,101.56,97.855,,1.43%
12/1/2013,98.39,99.77,100.305,97.085,,-1.03%
11/1/2013,99.41,99,102.44,98.34,,1.53%
10/1/2013,97.91,100.09,100.355,97.25,,-1.77%
9/1/2013,99.67,105.77,110.025,98.405,,-4.74%
8/1/2013,104.63,97.19,108.145,96.15,,8.82%
7/1/2013,96.15,95.145,98.175,93.675,,1.72%
6/1/2013,94.52,90.49,97.47,89.845,,5.14%
5/1/2013,89.9,86.09,91.06,85.62,,5.04%
4/1/2013,85.59,86.86,88.075,85.78,,-0.89%
3/1/2013,86.36,87.59,88.495,85.985,,-0.15%
2/1/2013,86.49,85.21,87.605,84.385,,2.16%
1/1/2013,84.66,87.72,88.865,84.655,,-3.23%
